date_time	B.1	B.1.1	B.1.1.306	B.1.1.7	B.1.311	B.1.351	B.1.36.29	B.1.525	B.1.617	B.1.617.1	B.1.617.2	B.1.617.3	B.1.618	Other	source
2020-04-27T23:00:00.000Z	0.254237288	0.042372881	0.152542373	0	0	0	0	0	0	0	0	0	0	0.550847458	
2020-04-28T23:00:00.000Z	0.289473684	0.052631579	0.111842105	0	0	0	0	0	0	0	0	0	0	0.546052632	
2020-04-29T23:00:00.000Z	0.324675325	0.051948052	0.097402597	0	0	0	0	0	0	0	0	0	0	0.525974026	
2020-04-30T23:00:00.000Z	0.318918919	0.059459459	0.091891892	0	0	0	0	0	0	0	0	0	0	0.52972973	
2020-05-01T23:00:00.000Z	0.325471698	0.056603774	0.099056604	0	0	0	0	0	0	0	0	0	0	0.518867925	
2020-05-02T23:00:00.000Z	0.341563786	0.04526749	0.119341564	0	0	0	0	0	0	0	0	0	0	0.49382716	
2020-05-03T23:00:00.000Z	0.369918699	0.036585366	0.117886179	0	0	0	0	0	0	0	0	0	0	0.475609756	
2020-05-04T23:00:00.000Z	0.364341085	0.042635659	0.108527132	0	0	0	0	0	0	0	0	0	0	0.484496124	
2020-05-05T23:00:00.000Z	0.336	0.04	0.112	0	0	0	0	0	0	0	0	0	0	0.512	
2020-05-06T23:00:00.000Z	0.305970149	0.037313433	0.108208955	0	0	0	0	0	0	0	0	0	0	0.548507463	
2020-05-07T23:00:00.000Z	0.286885246	0.036885246	0.131147541	0	0	0	0	0	0	0	0	0	0	0.545081967	
2020-05-08T23:00:00.000Z	0.248927039	0.038626609	0.115879828	0	0	0	0	0	0	0	0	0	0	0.596566524	
2020-05-09T23:00:00.000Z	0.179245283	0.037735849	0.108490566	0	0	0	0	0	0	0	0	0	0	0.674528302	
2020-05-10T23:00:00.000Z	0.136792453	0.047169811	0.108490566	0	0	0	0	0	0	0	0	0	0	0.70754717	
2020-05-11T23:00:00.000Z	0.093333333	0.035555556	0.128888889	0	0	0	0	0	0	0	0	0	0	0.742222222	
2020-05-12T23:00:00.000Z	0.081545064	0.025751073	0.188841202	0	0	0	0	0	0	0	0	0	0	0.703862661	
2020-05-13T23:00:00.000Z	0.11637931	0.030172414	0.211206897	0	0	0	0	0	0	0	0	0	0	0.642241379	
2020-05-14T23:00:00.000Z	0.158640227	0.050991501	0.147308782	0	0	0	0.002832861	0	0	0	0	0	0	0.640226629	
2020-05-15T23:00:00.000Z	0.166204986	0.055401662	0.16066482	0	0	0	0.002770083	0	0	0	0	0	0	0.614958449	
2020-05-16T23:00:00.000Z	0.2	0.054054054	0.154054054	0	0	0	0.002702703	0	0	0	0	0	0	0.589189189	
2020-05-17T23:00:00.000Z	0.190954774	0.045226131	0.145728643	0	0	0	0.002512563	0	0	0	0	0	0	0.615577889	
2020-05-18T23:00:00.000Z	0.202469136	0.054320988	0.135802469	0	0	0	0.002469136	0	0	0	0	0	0	0.604938272	
2020-05-19T23:00:00.000Z	0.221662469	0.057934509	0.115869018	0	0	0	0.005037783	0	0	0	0	0	0	0.599496222	
2020-05-20T23:00:00.000Z	0.203233256	0.053117783	0.133949192	0	0	0	0.004618938	0	0	0	0	0	0	0.605080831	
2020-05-21T23:00:00.000Z	0.193846154	0.04	0.190769231	0	0	0	0.003076923	0	0	0	0	0	0	0.572307692	
